,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
"Katz N, 1979",Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,s. mansoni,Brazil,Praziquantel ,Single,20 mg/kg,8,20- 48,male,1979,male patients from the military police of Minas Gerais who were excreting > 100 EPG of S. mansoni,No,No,cure rate accessed at 6 months,40%,,These data demonstrate that persons with HIV-1 infection can be treated effectively for schistosomiasis with praziquantel.,,Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,,,,,,,,,,,,,,,,,,
"Katz N, 1979",Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,s. mansoni,Brazil,Praziquantel ,Two,20 mg/kg,7,20- 49,male,1979,male patients from the military police of Minas Gerais who were excreting > 100 EPG of S. mansoni,No,No,cure rate accessed at 6 months,100%,,These data demonstrate that persons with HIV-1 infection can be treated effectively for schistosomiasis with praziquantel.,,Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,,,,,,,,,,,,,,,,,,
"Katz N, 1979",Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,s. mansoni,Brazil,Praziquantel ,Three,20 mg/kg,13,20- 50,male,1979,male patients from the military police of Minas Gerais who were excreting > 100 EPG of S. mansoni,No,No,cure rate accessed at 6 months,100%,,These data demonstrate that persons with HIV-1 infection can be treated effectively for schistosomiasis with praziquantel.,,Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,,,,,,,,,,,,,,,,,,
"Katz N, 1979",Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,s. mansoni,Brazil,Praziquantel ,Single,50 mg/kg,31,20- 51,male,1979,male patients from the military police of Minas Gerais who were excreting > 100 EPG of S. mansoni,No,No,cure rate accessed at 6 months,92%,98%,These data demonstrate that persons with HIV-1 infection can be treated effectively for schistosomiasis with praziquantel.,,Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,,,,,,,,,,,,,,,,,,
"Katz N, 1979",Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,s. mansoni,Brazil,Praziquantel ,Three,20 mg/kg,30,20- 52,male,1979,male patients from the military police of Minas Gerais who were excreting > 100 EPG of S. mansoni,No,No,cure rate accessed at 6 months,96%,98%,These data demonstrate that persons with HIV-1 infection can be treated effectively for schistosomiasis with praziquantel.,,Katz N. Preliminary trials with praziquantel in human infections due to Schistosoma mansoni. Bulletin of the World Health Organization 1979;57(5):781–5.,,,,,,,,,,,,,,,,,,
"Katz N, 1991","Katz N., Rocha R.S., De Souza C.P., Coura Filho P., Bruce J.I., Coles G.C., Kinotie G.K. Efficacy of alternating therapy with osamniquine and praziquantel to treat schistosoma Mansoni in children follwing failure of first treatment. Am J Trop Med Hyg (1991) 44(5); 509‐512.",s. mansoni,Brazil,Oxamniquine ,Single,20 mg/kg,90,7 - 14,male,1991,7 to 14 yrs old. Infected with S. mansoni were divided into 2 groups: Single oral dose of 60 mg/kg praziquantel(110 children) vs Single oral dose of 20mg/kg oxamniquine.,No,No,Group with 90 children treated with 20mg/kg oxamniquine: 2-3 months 75 children were re-examined (14.6% positive): 6 children were treated 1 and 10 months after with 60mg/kg praziquantel (1m) 0/4 positive (10m) 2/4 positive. group single oral dose of 60 mg/kg praziquantel(110 children): 2-3 months later (100 re-examined)= 16% positive: 10 children were examined 1 and 10 month after second treatment with 20 mg/kg oxamniquine (1m) 1/8th positive (10m) 5/8 positive.,85%,,"In order to minimize the risk of the development of drug resistance, suggect that infected patients be treated with one drug and therapeutic failures with another. treatment with the alternative drug of children not cureed 2-3 months after first treatment resukting in negative stools in 11of 12 cases examined 1 month after second treatment",EFFICACY OF ALTERNATING THERAPY WITH OXAMNIQUINE AND PRAZIQUANTEL TO TREAT SCHISTOSOMA MANSONI IN CHILDREN FOLLOWING FAILURE OF FIRST TREATMENT,"Katz N., Rocha R.S., De Souza C.P., Coura Filho P., Bruce J.I., Coles G.C., Kinotie G.K. Efficacy of alternating therapy with osamniquine and praziquantel to treat schistosoma Mansoni in children follwing failure of first treatment. Am J Trop Med Hyg (1991) 44(5); 509‐512.",,,,,,,,,,,,,,,,,,
"Katz N, 1991","Katz N., Rocha R.S., De Souza C.P., Coura Filho P., Bruce J.I., Coles G.C., Kinotie G.K. Efficacy of alternating therapy with osamniquine and praziquantel to treat schistosoma Mansoni in children follwing failure of first treatment. Am J Trop Med Hyg (1991) 44(5); 509‐512.",s. mansoni,Brazil,Praziquantel,Single,60 mg/kg,110,7 - 14,,1991,7 to 14 yrs old. Infected with S. mansoni were divided into 2 groups: Single oral dose of 60 mg/kg praziquantel(110 children) vs Single oral dose of 20mg/kg oxamniquine.,No,No,Group with 90 children treated with 20mg/kg oxamniquine: 2-3 months 75 children were re-examined (14.6% positive): 6 children were treated 1 and 10 months after with 60mg/kg praziquantel (1m) 0/4 positive (10m) 2/4 positive. group single oral dose of 60 mg/kg praziquantel(110 children): 2-3 months later (100 re-examined)= 16% positive: 10 children were examined 1 and 10 month after second treatment with 20 mg/kg oxamniquine (1m) 1/8th positive (10m) 5/8 positive.,84%,,"In order to minimize the risk of the development of drug resistance, suggect that infected patients be treated with one drug and therapeutic failures with another. treatment with the alternative drug of children not cureed 2-3 months after first treatment resukting in negative stools in 11of 12 cases examined 1 month after second treatment",EFFICACY OF ALTERNATING THERAPY WITH OXAMNIQUINE AND PRAZIQUANTEL TO TREAT SCHISTOSOMA MANSONI IN CHILDREN FOLLOWING FAILURE OF FIRST TREATMENT,"Katz N., Rocha R.S., De Souza C.P., Coura Filho P., Bruce J.I., Coles G.C., Kinotie G.K. Efficacy of alternating therapy with osamniquine and praziquantel to treat schistosoma Mansoni in children follwing failure of first treatment. Am J Trop Med Hyg (1991) 44(5); 509‐512.",,,,,,,,,,,,,,,,,,
"Kilpatrick ME, 1982","Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",s. mansoni,Egypt,Oxamniquine ,Three,20 mg/kg ,28,Children,male,1982,All Males. Subjects examined in hospital and tested for at least two S.mansoni stool eggs counts,No,Yes,"Stool count eggs were examinded at 4,8,12 weeks after treatment , Cured was defined as absence of viable eggs in stool at 12 weeks",26%,,"Niridazole is more effective drug for child with s.mansoni, but oxamniquine is advised for the adult with s.mansoni.",,"Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",,,,,,,,,,,,,,,,,,
"Kilpatrick ME, 1982","Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",s. mansoni,Egypt,Oxamniquine ,Three,20 mg/kg,26,Adults,male,1982,All Males. Subjects examined in hospital and tested for at least two S.mansoni stool eggs counts,No,Yes,"Stool count eggs were examinded at 4,8,12 weeks after treatment , Cured was defined as absence of viable eggs in stool at 12 weeks",85%,,"Niridazole is more effective drug for child with s.mansoni, but oxamniquine is advised for the adult with s.mansoni.",,"Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",,,,,,,,,,,,,,,,,,
"Kilpatrick ME, 1982","Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",s. mansoni,Egypt,Niridazole ,Eight,15 mg/kg,33,Children,male,1982,All Males. Subjects examined in hospital and tested for at least two S.mansoni stool eggs counts.,No,Yes,"Stool count eggs were examinded at 4,8,12 weeks after treatment , Cured was defined as absence of viable eggs in stool at 12 weeks",71%,,"Niridazole is more effective drug for child with s.mansoni, but oxamniquine is advised for the adult with s.mansoni.",,"Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",,,,,,,,,,,,,,,,,,
"Kilpatrick ME, 1982","Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",s. mansoni,Egypt,Niridazole ,Eight,15 mg/lkg,29,Adults,male,1982,All Males. Subjects examined in hospital and tested for at least two S.mansoni stool eggs counts,No,Yes,"Stool count eggs were examinded at 4,8,12 weeks after treatment , Cured was defined as absence of viable eggs in stool at 12 weeks",84%,,"Niridazole is more effective drug for child with s.mansoni, but oxamniquine is advised for the adult with s.mansoni.",,"Kilpatrick M.E., El Masry N.A., Bassily S., Farid Z. Oxamniquine versus niridazole for treatment of uncomplicated schistosoma mansoni infection. Am J Trop Med Hyg (1982) 31 (6); 1164‐1167.",,,,,,,,,,,,,,,,,,
"Lambertucci J.R, 1982","Lambertucci J.R., Greco D.B., Pedrosa E.R.P, da Costa Rocha M.O., Salazar H.M., De Lima D.P. A double blind trial with oxamniquine in chronic schistosomiasis mansoni. Trans Roy Soc Trop Med Hyg (1982) 76(6); 751‐755.",s. mansoni,Brazil,Oxamniquine,Single,20 mg/kg ,48,6- 14,32:16,1979,"Use of quantitative stool sample examinations, testing for S. mansoni",Yes,Yes,10 months ,69.60%,77.90%,"The authors conclude that oral oxamniquine in the prescribed dosage, has low toxicity and good therapeutic efficacy in children with chronic schistosomiasis mansoni.",Also included an uninfected control group,"Lambertucci J.R., Greco D.B., Pedrosa E.R.P, da Costa Rocha M.O., Salazar H.M., De Lima D.P. A double blind trial with oxamniquine in chronic schistosomiasis mansoni. Trans Roy Soc Trop Med Hyg (1982) 76(6); 751‐755.",,,,,,,,,,,,,,,,,,
"Lambertucci J.R, 1982","Lambertucci J.R., Greco D.B., Pedrosa E.R.P, da Costa Rocha M.O., Salazar H.M., De Lima D.P. A double blind trial with oxamniquine in chronic schistosomiasis mansoni. Trans Roy Soc Trop Med Hyg (1982) 76(6); 751‐755.",s. mansoni,Brazil,Placebo,,,43,6- 14,24:19,1979,"Use of quantitative stool sample examinations, testing for S. mansoni",Yes,Yes,10 months ,0.00%,,"The authors conclude that oral oxamniquine in the prescribed dosage, has low toxicity and good therapeutic efficacy in children with chronic schistosomiasis mansoni.",Also included an uninfected control group,"Lambertucci J.R., Greco D.B., Pedrosa E.R.P, da Costa Rocha M.O., Salazar H.M., De Lima D.P. A double blind trial with oxamniquine in chronic schistosomiasis mansoni. Trans Roy Soc Trop Med Hyg (1982) 76(6); 751‐755.",,,,,,,,,,,,,,,,,,
Li 2005,"Li, Yue-Sheng, et al. ""A double-blind field trial on the effects of artemether on Schistosoma japonicum infection in a highly endemic focus in southern China."" Acta tropica 96.2 (2005): 184-190.",S. japonicum,China,Praziquantel,Single,50 mg/kg,403,6-60 years old,225/178,2004,"The selected subjects were registered by age, sex, frequency and type of water contact, and then were randomly assigned into treatment group (i.e. artemether) and control group (i.e.placebo).",Yes,Yes,1 month,92.9%,96.1%,"This study confirms that repeated oral artemether produces no drug-related adverse effects, significantly reduces incidence and intensity of patent S. japonicum infection and results in high compliance. Hence it can be used as an additional tool for the control of schistosomiasis japonica in the lake regions of China.",,"Li, Yue-Sheng, et al. ""A double-blind field trial on the effects of artemether on Schistosoma japonicum infection in a highly endemic focus in southern China."" Acta tropica 96.2 (2005): 184-190.",,,,,,,,,,,,,,,,,,
Li 2005,"Li, Yue-Sheng, et al. ""A double-blind field trial on the effects of artemether on Schistosoma japonicum infection in a highly endemic focus in southern China."" Acta tropica 96.2 (2005): 184-190.",s. japonicum,China,Placebo,,,380,6-60 years old,216/164,2004,"The selected subjects were registered by age, sex, frequency and type of water contact, and then were randomly assigned into treatment group (i.e. artemether) and control group (i.e.placebo).",Yes,Yes,1 month,0%,50.8%,"This study confirms that repeated oral artemether produces no drug-related adverse effects, significantly reduces incidence and intensity of patent S. japonicum infection and results in high compliance. Hence it can be used as an additional tool for the control of schistosomiasis japonica in the lake regions of China.",,"Li, Yue-Sheng, et al. ""A double-blind field trial on the effects of artemether on Schistosoma japonicum infection in a highly endemic focus in southern China."" Acta tropica 96.2 (2005): 184-190.",,,,,,,,,,,,,,,,,,
